Timestep,Mean score
10000,-176.92549397235675
20000,-166.8665499166071
30000,-189.48108516006423
40000,-204.7259022649404
50000,-177.1220460231507
60000,-179.10978186643212
70000,-164.06261611417546
80000,-161.19261697498695
90000,-163.611273011563
100000,-158.38307893933535
110000,-197.68801766126933
120000,-193.81306337456525
130000,-174.283040163057
140000,-168.16407003001132
150000,-174.5291120264109
160000,-153.24891892878776
170000,-133.5718998229888
180000,-139.41604241654753
190000,-132.92320280851033
200000,-152.68957268146764
210000,-187.4948605077994
220000,-152.09692980569088
230000,-135.10464391564184
240000,-169.59310365232523
250000,-160.29925407427953
260000,-137.2744387292069
270000,-136.65955087031855
280000,-115.52508892067875
290000,-140.42773788813147
300000,-134.88876296141808
310000,-165.34841649338657
320000,-159.6019190567825
330000,-149.29096211188562
340000,-137.14828296848526
350000,-169.19213210698814
360000,-141.49534055204575
370000,-139.14700913545448
380000,-114.40395010315954
390000,-140.3536459021191
400000,-150.7352761215853
410000,-147.64726838260904
420000,-115.61473708751038
430000,-134.92179155621304
440000,-127.08532886990467
450000,-148.77001250372226
460000,-117.81920150317181
470000,-122.98830490123304
480000,-131.85098665939088
490000,-117.16571970897354
500000,-136.30672808543807
510000,-129.36793180598573
520000,-118.604167733458
530000,-95.26307426947554
540000,-150.17792223443857
550000,-126.31540070315708
560000,-93.50288165964342
570000,-104.71571606370327
580000,-127.99591054489055
590000,-90.80770952900063
600000,-109.94176817054257
610000,-120.90846148625842
620000,-108.12778146138471
630000,-124.7328681974674
640000,-126.1785520287368
650000,-102.42604298772568
660000,-89.18999198157557
670000,-99.67836512223319
680000,-119.4384075512156
690000,-118.4357798827417
700000,-114.82521911647383
710000,-132.42740348989045
720000,-96.52262951226582
730000,-135.46535009572924
740000,-105.51273660512544
750000,-102.62508634392266
760000,-95.60213786248461
770000,-93.76570209104065
780000,-113.56406857022294
790000,-99.69413991346646
800000,-110.76184050521096
810000,-101.93616301540258
820000,-99.00270369721672
830000,-121.63768724448904
840000,-117.17375402529746
850000,-85.09698625973301
860000,-113.05166271155481
870000,-112.33863362895795
880000,-102.9643830821122
890000,-112.35386435065662
900000,-120.74856560761145
910000,-77.95890746906181
920000,-90.2124280977665
930000,-120.23879416130737
940000,-36.93540966229212
950000,-97.29226407303462
960000,-48.941324108313665
970000,-74.94519330861019
980000,-98.6211503065365
990000,-107.49751566731044
1000000,-94.16820008022634
1010000,-49.32857078770956
1020000,-66.13809406730267
1030000,-73.80806289312123
1040000,-91.64471721570105
1050000,-84.6937549203972
1060000,-72.35490101487154
1070000,-81.25273957322113
1080000,-54.61544970473805
1090000,-58.34013836481349
1100000,-69.26490348045584
1110000,-67.59845881177439
1120000,-60.18785846760655
1130000,-45.08342366191343
1140000,-56.688575063396904
1150000,-68.04462758942894
1160000,-69.23692566058676
1170000,-67.94754985445938
1180000,-79.84900243559728
1190000,-86.36470661802386
1200000,-75.76758827908559
1210000,-66.86762521775002
1220000,-75.31714409762809
1230000,-106.41199926077829
1240000,-82.82119046226363
1250000,-71.59930039667573
1260000,-113.4070120029976
1270000,-98.50183217394459
1280000,-125.00523996677553
1290000,-79.4079273421956
1300000,-87.30105099676503
1310000,-75.31012460555411
1320000,-93.00296320819349
1330000,-96.22360563376407
1340000,-117.65163778140355
1350000,-134.4839476694605
1360000,-109.76192874035563
1370000,-149.49149341667507
1380000,-164.5650194117469
1390000,-109.81653363257657
1400000,-129.98517479497804
1410000,-101.78956658423861
1420000,-111.35019175350102
1430000,-81.60118538868944
1440000,-113.65691431978983
1450000,-115.1827507271839
1460000,-126.5469997837014
1470000,-106.96990825953657
1480000,-108.68529633441335
1490000,-104.90479161564748
1500000,-89.218042215239
1510000,-104.02970343202237
1520000,-116.99735125762703
1530000,-54.47582498331026
1540000,-91.18241176858189
1550000,-83.3605839287662
1560000,-105.12757437304892
1570000,-72.03559257041749
1580000,-133.9987787348633
1590000,-99.67023134531023
1600000,-145.15372860498695
1610000,-128.29709894638455
1620000,-148.74585992637674
1630000,-103.05819390263626
1640000,-94.90279213743983
1650000,-144.99630130074823
1660000,-101.49407144564665
1670000,-96.44301051182643
1680000,-91.08855429623257
1690000,-95.89672167186777
1700000,-111.25587873034813
1710000,-95.67094890526612
1720000,-148.0158750812893
1730000,-126.11529640789088
1740000,-99.28876960979838
1750000,-113.90103420072816
1760000,-148.54110211997397
1770000,-150.00443444419528
1780000,-119.83982400072624
1790000,-107.1323404024913
1800000,-129.9013112920801
1810000,-82.73331233028608
1820000,-88.49828435558068
1830000,-92.14019299386128
1840000,-85.03727342626902
1850000,-97.11198956659838
1860000,-62.39337350634493
1870000,-122.97439802709034
1880000,-120.75583986003456
1890000,-98.36306018091041
1900000,-65.38873956909363
1910000,-69.23969679477065
1920000,-41.8689394862333
1930000,-20.718398143544913
1940000,-77.67945224248453
1950000,-75.89254522066982
1960000,-27.85190054794413
1970000,-80.63433539390931
1980000,-74.44177266436003
1990000,-60.29319263876058
2000000,-115.16793165618648
