Timestep,Mean score
10000,-5.316933333333327
20000,-4.915933333333316
30000,-5.507566666666671
40000,-5.322199999999976
50000,-3.358833333333339
60000,-4.010099999999975
70000,-6.096933333333317
80000,-4.483966666666634
90000,-4.405833333333309
100000,-8.278766666666696
110000,-3.7261333333333058
120000,-5.8727
130000,-5.237566666666643
140000,-3.1517333333333095
150000,-7.192533333333317
160000,-3.019999999999981
170000,-3.597100000000007
180000,-4.31536666666664
190000,-4.723433333333319
200000,-4.416466666666642
210000,-4.57996666666665
220000,-5.8442
230000,-4.823199999999989
240000,-4.2730333333333155
250000,-4.31413333333333
260000,-4.917166666666678
270000,-5.145366666666665
280000,-3.2429666666666472
290000,-4.610133333333301
300000,-4.37316666666665
310000,-6.74059999999997
320000,-4.510166666666635
330000,-4.815666666666631
340000,-3.01753333333331
350000,-6.38723333333331
360000,-5.070033333333325
370000,-6.431633333333366
380000,-3.73926666666665
390000,-4.706233333333303
400000,-6.335999999999978
410000,-5.23909999999999
420000,-5.005099999999988
430000,-4.075666666666639
440000,-6.561033333333301
450000,-4.412800000000023
460000,-3.6808666666666405
470000,-4.619366666666653
480000,-3.884399999999977
490000,-3.942466666666654
500000,-4.03566666666664
510000,-2.982666666666655
520000,-6.133933333333318
530000,-4.977799999999984
540000,-4.166700000000014
550000,-3.5942666666666465
560000,-3.995599999999993
570000,-3.426099999999987
580000,-3.9911666666666528
590000,-2.5776666666666577
600000,-4.632133333333335
610000,-2.5992999999999795
620000,-4.619733333333323
630000,-4.588833333333318
640000,-4.757366666666686
650000,-5.39733333333332
660000,-5.2899333333333125
670000,-5.771599999999994
680000,-4.742566666666639
690000,-4.552966666666645
700000,-3.108899999999979
710000,-4.723766666666661
720000,-5.441599999999996
730000,-5.40073333333331
740000,-4.072933333333312
750000,-3.8649666666666556
760000,-3.450733333333317
770000,-3.53989999999998
780000,-4.917966666666633
790000,-4.343299999999982
800000,-6.426466666666665
810000,-3.0424666666666433
820000,-2.74169999999998
830000,-5.199933333333325
840000,-3.2882666666666447
850000,-3.41306666666664
860000,-3.949066666666644
870000,-3.129033333333311
880000,-2.9431333333333214
890000,-4.965266666666652
900000,-5.152533333333344
910000,-4.392766666666637
920000,-4.9608666666666466
930000,-3.545433333333304
940000,-3.5666333333333275
950000,-3.4593999999999783
960000,-4.088133333333308
970000,-4.116333333333303
980000,-2.4649666666666485
990000,-5.846133333333311
1000000,-4.3239999999999865
1010000,-3.2458666666666414
1020000,-4.866199999999994
1030000,-3.6459666666666433
1040000,-1.9226666666666514
1050000,-2.754833333333307
1060000,-2.1199333333333192
1070000,-4.292966666666668
1080000,-2.982366666666648
1090000,-4.175933333333306
1100000,-4.233266666666649
1110000,-3.5289666666666473
1120000,-3.1798333333333075
1130000,-4.0430333333333115
1140000,-4.45459999999999
1150000,-5.493933333333309
1160000,-2.6491999999999836
1170000,-2.9191333333333116
1180000,-2.8817999999999846
1190000,-4.026133333333302
1200000,-3.525866666666645
1210000,-3.9254333333333045
1220000,-3.654333333333307
1230000,-2.6939666666666495
1240000,-3.307599999999981
1250000,-3.615233333333327
1260000,-3.354600000000003
1270000,-5.67059999999999
1280000,-5.6190666666666775
1290000,-4.385466666666663
1300000,-4.0712999999999955
1310000,-3.3028333333333166
1320000,-2.271799999999984
1330000,-1.8950666666666522
1340000,-3.662366666666645
1350000,-2.5138333333333245
1360000,-3.6303666666666503
1370000,-2.4792666666666454
1380000,-3.683599999999982
1390000,-2.33179999999998
1400000,-3.9146666666666556
1410000,-4.463799999999972
1420000,-4.347966666666634
1430000,-4.635166666666661
1440000,-2.7434333333333143
1450000,-2.5455666666666468
1460000,-2.8124333333333325
1470000,-3.6934333333333047
1480000,-3.3034999999999757
1490000,-5.128866666666645
1500000,-1.6815666666666522
1510000,-3.3318666666666394
1520000,-4.818866666666647
1530000,-3.452033333333307
1540000,-3.6734999999999784
1550000,-2.3039333333333123
1560000,-3.4339333333333055
1570000,-6.625900000000007
1580000,-3.452933333333307
1590000,-3.184399999999988
1600000,-3.4441666666666566
1610000,-3.549166666666642
1620000,-4.00913333333332
1630000,-2.5886999999999807
1640000,-3.462166666666639
1650000,-3.025833333333311
1660000,-3.4408333333333303
1670000,-2.7914999999999783
1680000,-2.6913999999999825
1690000,-1.4532666666666536
1700000,-3.7699666666666407
1710000,-2.43716666666665
1720000,-3.204733333333311
1730000,-3.000433333333309
1740000,-2.0713666666666506
1750000,-3.498666666666649
1760000,-2.6577999999999795
1770000,-3.7705333333333124
1780000,-5.016833333333305
1790000,-4.349933333333317
1800000,-4.1594333333333084
1810000,-2.148899999999983
1820000,-2.7463666666666597
1830000,-2.8649999999999807
1840000,-4.083466666666637
1850000,-2.517466666666654
1860000,-1.8247666666666527
1870000,-2.041066666666651
1880000,-3.116699999999977
1890000,-2.031999999999983
1900000,-2.5239666666666496
1910000,-3.691333333333303
1920000,-2.4272666666666467
1930000,-3.603899999999973
1940000,-2.9563666666666513
1950000,-2.7373999999999783
1960000,-3.698533333333317
1970000,-1.7601999999999831
1980000,-2.7694999999999808
1990000,-2.7720666666666527
2000000,-1.9418999999999824
