Timestep,Mean score
10000,-161.09703744773853
20000,-145.84134795015038
30000,-168.79829781007467
40000,-201.36784662924907
50000,-195.07008567801734
60000,-169.0890013547182
70000,-181.90806692679286
80000,-213.03741885734098
90000,-170.15617041136315
100000,-159.9333513479131
110000,-206.13425041784362
120000,-171.3978092051338
130000,-134.0088513651222
140000,-160.89299448061632
150000,-158.53125803707218
160000,-176.05634222897626
170000,-136.25667302383414
180000,-156.2764755520283
190000,-155.50761922502542
200000,-155.9244254662313
210000,-150.18428080631438
220000,-157.77827607402153
230000,-128.2633672769118
240000,-135.9875686036344
250000,-166.58506493701714
260000,-122.81485877217187
270000,-134.84792912417726
280000,-123.67505713525179
290000,-144.36401168324423
300000,-121.95667892065919
310000,-154.93265884294604
320000,-133.1212247935088
330000,-121.3686122977339
340000,-145.28999394129977
350000,-124.85736398986552
360000,-122.51784079262832
370000,-131.80361521597337
380000,-135.99458428054245
390000,-130.8889810367079
400000,-153.94752258324857
410000,-109.00454615066043
420000,-119.68952001240677
430000,-126.41546206680701
440000,-127.77405323086376
450000,-100.46656727994402
460000,-132.03420846784246
470000,-121.90338583829559
480000,-141.05798775205815
490000,-122.3980022125684
500000,-124.62332092653573
510000,-122.66749655110189
520000,-154.59902689248065
530000,-101.2870887778629
540000,-95.742726308532
550000,-120.17113877210532
560000,-133.7963540847353
570000,-91.99275944115283
580000,-135.33161586745067
590000,-132.7779532930152
600000,-107.61396150623979
610000,-107.28362859468467
620000,-99.33028097790981
630000,-133.59985784754633
640000,-113.54943507959965
650000,-99.4984292374126
660000,-111.45241618302877
670000,-93.81633498795772
680000,-99.17688287496439
690000,-110.99048093557458
700000,-119.24708435210604
710000,-85.90367942677425
720000,-109.60705611790776
730000,-93.25107015275962
740000,-82.44322023418285
750000,-125.17842601480389
760000,-120.81898444991612
770000,-101.62687854388007
780000,-95.25988923506746
790000,-103.80545025148541
800000,-103.08614403648252
810000,-80.12218689935541
820000,-87.42144506752926
830000,-76.66174787413871
840000,-103.43748277086586
850000,-101.32548269422064
860000,-103.04053246744051
870000,-91.70420965025706
880000,-76.43262387527801
890000,-78.04273062151591
900000,-85.15242322768611
910000,-84.74150835191037
920000,-76.1229155526345
930000,-104.85170188391098
940000,-82.88687067457059
950000,-58.15401306929622
960000,-68.39473878809211
970000,-72.09819100892618
980000,-54.61612229434569
990000,-83.31144333119158
1000000,-66.74815510387835
1010000,-80.5586035126439
1020000,-70.22131436653768
1030000,-43.63692791686804
1040000,-92.44910826666913
1050000,-71.84194204553282
1060000,-31.973862420476067
1070000,-56.56659596383495
1080000,-60.12413720626218
1090000,-72.7614055875305
1100000,-59.26570746572825
1110000,-50.02684156362273
1120000,-45.63345030470793
1130000,-80.7380034710227
1140000,-75.61035234391788
1150000,-19.337674996940677
1160000,-47.39553167680522
1170000,-16.634553800991824
1180000,-48.957192533790604
1190000,-27.425295853583805
1200000,-69.8213613318388
1210000,-45.053574170024035
1220000,-41.11880478574539
1230000,-39.593973666733426
1240000,-47.58848298199664
1250000,-39.16061753821621
1260000,-37.82999491627546
1270000,-51.082442854905864
1280000,-48.88801467605769
1290000,-59.86454981205419
1300000,-72.14165504696092
1310000,-8.859054578326425
1320000,-9.39116389290764
1330000,-41.89720188737979
1340000,-29.885626595627095
1350000,-64.11077438668785
1360000,-27.003091701748925
1370000,-37.81948149290477
1380000,-25.529222078497316
1390000,-24.33338055595633
1400000,-11.753621937203402
1410000,-47.26823674529364
1420000,-49.56435498486734
1430000,-30.100729547993804
1440000,-56.96184348335813
1450000,-38.573788504305085
1460000,-56.31360384727914
1470000,-26.17938792746031
1480000,-41.94363090858926
1490000,-49.998477914923235
1500000,-55.76586864783029
1510000,-58.31352478622615
1520000,-24.94092757703827
1530000,-75.45850592274653
1540000,-30.504617760273643
1550000,-36.30779542292014
1560000,-40.07944468667049
1570000,-12.033514304385582
1580000,-40.76712314904226
1590000,-16.43485738127793
1600000,-29.08674406603321
1610000,-13.15576258973763
1620000,-28.891814861903445
1630000,-16.760961481714997
1640000,-46.70076650448008
1650000,-19.134511280749525
1660000,-28.371783682851625
1670000,-24.751260361461444
1680000,-22.861608530373232
1690000,-29.579165658441298
1700000,-19.99639120629182
1710000,-51.5719281396904
1720000,-53.2259949061861
1730000,4.28391154038506
1740000,-6.946494764675625
1750000,-21.482718099007517
1760000,-6.16433739849531
1770000,-11.281649118264905
1780000,9.563392338819424
1790000,2.6803939930263456
1800000,-9.862650143773495
1810000,-22.301457909395094
1820000,-50.32853453756057
1830000,-30.83016609297062
1840000,-24.252596823790032
1850000,-15.351580642298359
1860000,-11.37560727300898
1870000,0.18208119213793925
1880000,-9.17113267373245
1890000,2.8889155759531655
1900000,10.81365023226377
1910000,-14.12444391142432
1920000,-6.426867117391637
1930000,3.762388964324974
1940000,-21.7169385443796
1950000,25.927708761835056
1960000,-36.221862338298614
1970000,-26.85679808628333
1980000,-12.872951659577321
1990000,-18.225543144494548
2000000,-7.247731969892665
