Timestep,Mean score
10000,-5.650900000000004
20000,-5.055333333333321
30000,-4.805699999999972
40000,-4.59403333333331
50000,-6.078733333333348
60000,-4.690466666666686
70000,-5.794066666666665
80000,-3.215599999999974
90000,-2.806333333333313
100000,-5.836599999999974
110000,-5.219633333333325
120000,-3.79289999999997
130000,-3.580033333333319
140000,-5.2896666666666805
150000,-4.22439999999997
160000,-3.5340333333333094
170000,-2.750599999999977
180000,-5.64463333333333
190000,-5.523433333333343
200000,-3.429733333333318
210000,-5.330533333333322
220000,-5.6398333333333035
230000,-3.2419666666666633
240000,-4.972499999999989
250000,-3.9360666666666555
260000,-2.7463999999999795
270000,-4.73699999999997
280000,-4.42739999999998
290000,-5.007433333333316
300000,-4.498133333333318
310000,-5.620766666666681
320000,-2.6133333333333137
330000,-4.295833333333308
340000,-2.774999999999982
350000,-4.4679999999999715
360000,-2.4199333333333164
370000,-4.453433333333302
380000,-6.403333333333359
390000,-4.057299999999993
400000,-6.39720000000002
410000,-5.0974333333333846
420000,-5.123433333333357
430000,-3.5619666666666467
440000,-4.366433333333316
450000,-5.515066666666641
460000,-2.5095333333333154
470000,-2.3703666666666465
480000,-5.118266666666674
490000,-2.797566666666644
500000,-6.8629333333333244
510000,-2.707533333333311
520000,-4.682399999999969
530000,-4.270233333333326
540000,-3.3966999999999823
550000,-3.617966666666646
560000,-4.276699999999972
570000,-5.814366666666648
580000,-4.543933333333327
590000,-3.8152999999999673
600000,-4.23759999999998
610000,-4.368633333333304
620000,-5.439366666666653
630000,-6.922533333333415
640000,-3.569766666666651
650000,-3.923466666666654
660000,-3.768033333333337
670000,-5.30613333333335
680000,-2.8139333333333107
690000,-3.5567666666666584
700000,-2.930566666666642
710000,-3.3662333333333145
720000,-4.037066666666636
730000,-3.23179999999998
740000,-3.334966666666647
750000,-4.429099999999976
760000,-7.07769999999998
770000,-5.660733333333306
780000,-5.591533333333334
790000,-2.4628666666666534
800000,-4.80703333333331
810000,-3.8787999999999694
820000,-3.6912333333333103
830000,-4.4537333333333216
840000,-6.934133333333324
850000,-2.9183666666666483
860000,-2.869066666666649
870000,-3.5383666666666493
880000,-3.7425999999999684
890000,-3.918033333333303
900000,-4.390766666666645
910000,-4.429633333333324
920000,-4.658866666666632
930000,-3.7871333333333066
940000,-3.992333333333318
950000,-4.2346666666666515
960000,-2.9391333333333196
970000,-4.705299999999978
980000,-4.150299999999972
990000,-4.1701666666666615
1000000,-3.0317999999999845
1010000,-2.2969333333333184
1020000,-4.658466666666674
1030000,-4.247899999999975
1040000,-2.894599999999971
1050000,-3.6613999999999733
1060000,-1.6487999999999903
1070000,-4.438333333333343
1080000,-2.191166666666648
1090000,-2.271633333333317
1100000,-2.560733333333313
1110000,-4.181433333333307
1120000,-4.885666666666667
1130000,-4.254133333333326
1140000,-1.902399999999985
1150000,-2.307899999999981
1160000,-4.071133333333311
1170000,-2.346933333333317
1180000,-4.067933333333314
1190000,-3.8810333333333045
1200000,-2.087566666666647
1210000,-3.3875333333333097
1220000,-3.265666666666648
1230000,-3.821199999999978
1240000,-3.520699999999975
1250000,-2.0501666666666503
1260000,-5.606099999999957
1270000,-4.884066666666674
1280000,-3.2966999999999866
1290000,-2.957999999999977
1300000,-1.8088666666666515
1310000,-3.0642999999999865
1320000,-4.435733333333311
1330000,-4.018599999999969
1340000,-2.347733333333316
1350000,-2.134233333333318
1360000,-3.310833333333333
1370000,-2.299766666666649
1380000,-3.3936666666666517
1390000,-3.71159999999997
1400000,-3.534333333333324
1410000,-2.686433333333319
1420000,-3.664266666666648
1430000,-3.2813333333333348
1440000,-1.7162666666666513
1450000,-2.7775666666666488
1460000,-2.7431666666666543
1470000,-3.611133333333312
1480000,-3.9486333333333272
1490000,-2.5007666666666464
1500000,-2.029733333333315
1510000,-3.625399999999984
1520000,-2.3006999999999826
1530000,-3.278833333333323
1540000,-3.7092666666666667
1550000,-2.644733333333321
1560000,-4.182733333333307
1570000,-3.0908999999999773
1580000,-3.295366666666645
1590000,-2.7068333333333103
1600000,-3.3072999999999766
1610000,-2.4173999999999864
1620000,-3.219333333333309
1630000,-3.4392999999999687
1640000,-2.7815333333333148
1650000,-2.491333333333316
1660000,-2.7344999999999806
1670000,-4.00809999999999
1680000,-3.926499999999973
1690000,-3.420833333333316
1700000,-3.1803999999999726
1710000,-2.0590333333333155
1720000,-3.523466666666651
1730000,-2.465599999999981
1740000,-3.8776666666666513
1750000,-3.155099999999975
1760000,-2.161899999999981
1770000,-2.8044333333333125
1780000,-2.3238666666666514
1790000,-2.77566666666665
1800000,-4.235033333333355
1810000,-1.5972999999999853
1820000,-2.4970333333333143
1830000,-2.1553666666666476
1840000,-2.179733333333314
1850000,-2.506799999999981
1860000,-2.4988333333333146
1870000,-2.259366666666654
1880000,-3.691566666666638
1890000,-3.44039999999997
1900000,-2.9912666666666436
1910000,-1.6458666666666517
1920000,-2.1407666666666523
1930000,-2.7747999999999946
1940000,-2.7188333333333135
1950000,-3.0458666666666607
1960000,-1.5784666666666531
1970000,-1.2397333333333216
1980000,-1.8959999999999846
1990000,-2.396533333333317
2000000,-3.573133333333317
